citations,specificity,title,author,year,isbn,in_seed_index,weighted,score,key
12,0.997,Mechanics of Materials,Beer & Johnston,2006,978-0-07-352938-7,True,0.07586190000000002,0.07559911387708773,isbn:9780073529387
117,0.859,History of Semiconductor Engineering,Lojek,2007,978-3-540-34258-8,False,0.04476359074400004,0.03844691467511017,isbn:9783540342588
4,0.975,You Could Be the Winner (Volume - II),Sayeed,24 September 2019,978-93-88660-66-2,False,0.026758536,0.026077407812311503,isbn:9789388660662
25,0.935,Ancient Mesopotamian Materials and Industries: the Archaeological Evidence,Moorey,1994,978-1-57506-042-2,False,0.027593787325999992,0.02581347229883766,isbn:9781575060422
21,0.897,Advanced Materials Innovation: Managing Global Technology in the 21st century,Moskowitz,2016,978-0-470-50892-3,False,0.020897322213000006,0.01875371810226131,isbn:9780470508923
7,0.96,Inventing the Cotton Gin: Machine and Myth in Antebellum America,"Lakwete, Angela",2003,978-0-8018-7394-2,False,0.013573266956999999,0.013031400528745702,isbn:9780801873942
12,0.983,High Performance Audio Power Amplifiers,Duncan,1996,9780080508047,False,0.013245040377999999,0.013016644237719343,isbn:9780080508047
14,0.949,"The Genius of Archimedes – 23 Centuries of Influence on Mathematics, Science and Engineering: Proceedings of an International Conference held at Syracuse, Italy",,8–10 June 2010,978-90-481-9091-1,False,0.013699229275000004,0.013004446667682676,isbn:9789048190911
10,0.955,Ancient Egyptian Construction and Architecture,Clarke,1990,978-0-486-26485-1,False,0.013582459780000002,0.012972464055484962,isbn:9780486264851
3,0.988,2023 IEEE Frontiers in Education Conference (FIE),Zastudil,October 2023,979-8-3503-3642-9,False,0.01311393056,0.012957008573996195,isbn:9798350336429
5,0.963,The Nubian Past: An Archaeology of the Sudan,Edwards,2004,978-0-203-48276-6,False,0.013415921745999997,0.012920162544667001,isbn:9780203482766
12,0.961,Ancient civilizations of Africa,Mokhtar,1981,978-0-435-94805-4,False,0.013429845294999998,0.012905539861498753,isbn:9780435948054
6,0.961,A History of Sub-Saharan Africa,Collins,2007,978-0-521-86746-7,False,0.013422434148999999,0.012902249288597678,isbn:9780521867467
24,0.939,"Encyclopaedia of the History of Science, Technology, and Medicine in Non-Western Cultures",Selin,2013,978-94-017-1416-7,False,0.013668623879,0.012833857717101809,isbn:9789401714167
