citations,specificity,title,author,year,isbn,in_seed_index,weighted,score,key
35,0.939,Gravitation and Cosmology,Weinberg,1972,978-0-471-92567-5,True,0.032364128711,0.03037694315756249,isbn:9780471925675
19,0.953,The Feynman Lectures on Physics,Feynman,1963,978-0-201-02116-5,True,0.03055855684,0.02913355501874624,isbn:9780201021165
56,0.89,Gravitation,Misner,1973,978-0-7167-0344-0,True,0.025726041649999996,0.02290085548666313,isbn:9780716703440
25,0.934,The Quantum Theory of Fields,Weinberg,1995,978-0-521-55001-7,True,0.023960500644999994,0.022373316080743454,isbn:9780521550017
10,0.958,Einstein's General Theory of Relativity with Modern Applications in Cosmology,Grøn,2007,978-0-387-69199-2,False,0.022931593804999997,0.021965063213848644,isbn:9780387691992
6,0.949,Matter and Motion,Maxwell,1878,978-0-486-66895-6,False,0.022599333651,0.02143873298255762,isbn:9780486668956
25,0.943,Black Holes and Time Warps: Einstein's Outrageous Legacy,Thorne,1994,978-0-393-31276-8,False,0.016317017127000004,0.01539097012164653,isbn:9780393312768
29,0.886,"Quantum Physics of Atoms, Molecules, Solids, Nuclei, and Particles",Eisberg,1985,978-0-471-87373-0,True,0.016867473788,0.014937627455386373,isbn:9780471873730
15,0.958,The Large Scale Structure of Space-Time,Hawking,1973,978-0-521-09906-6,True,0.015540759276,0.014884145500342331,isbn:9780521099066
16,0.932,Fundamentals of statistical and thermal physics,Reif,1965,978-0-07-051800-1,True,0.015943224127,0.014863245057741958,isbn:9780070518001
9,0.972,Spacetime Physics,Taylor,1992,0-7167-2327-1,False,0.01529439529,0.014862973234283362,isbn:0716723271
8,0.965,Introduction to Classical Mechanics,David Morin,2008,978-0-521-87622-3,True,0.015385660708999997,0.014852307938540544,isbn:9780521876223
5,0.97,"Relativity, Gravitation and Cosmology: a Basic Introduction",Cheng,2005,978-0-19-852957-6,True,0.015286659930000002,0.014823385787358805,isbn:9780198529576
9,0.969,The critic of Plato,Lloyd,1968,978-0-521-09456-6,False,0.015243569085999999,0.014765660484478301,isbn:9780521094566
15,0.894,The Road to Reality: A complete guide to the laws of the universe,Penrose,2005,978-0-679-45443-4,False,0.016495635299000003,0.014742724705101008,isbn:9780679454434
